,Name,Country,Position,Age,Overall_Rating,Potential,Duration,Team,Total_Stats,photo_link,country_flag_img_link
148,Francisco F. da Conceição,Portugal,RW,19,74,86,2022 ~ 2027,Ajax,1715,https://cdn.sofifa.net/players/261/050/23_180.png, https://cdn.sofifa.net/flags/pt@3x.png
149,Noah Mbamba,Belgium,CB,17,64,84,2023 ~ 2028,Bayer 04 Leverkusen,1591,https://cdn.sofifa.net/players/261/360/23_180.png, https://cdn.sofifa.net/flags/be@3x.png
150,Désiré Doué,France,RW,17,70,86,2022 ~ 2025,Rennes,1699,https://cdn.sofifa.net/players/271/421/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
151,Wilfried Zaha,Côte d'Ivoire,LM,29,82,82,2015 ~ 2023,Crystal Palace,2002,https://cdn.sofifa.net/players/198/717/23_180.png, https://cdn.sofifa.net/flags/ci@3x.png
152,Edson Álvarez,Mexico,CB,24,80,84,2019 ~ 2025,Ajax,1975,https://cdn.sofifa.net/players/235/844/23_180.png, https://cdn.sofifa.net/flags/mx@3x.png
153,Juan Foyth,Argentina,CDM,24,79,84,2021 ~ 2026,Villarreal,1929,https://cdn.sofifa.net/players/237/221/23_180.png, https://cdn.sofifa.net/flags/ar@3x.png
154,Federico Valverde,Uruguay,RW,23,86,91,2016 ~ 2027,Real Madrid,2249,https://cdn.sofifa.net/players/239/053/23_180.png, https://cdn.sofifa.net/flags/uy@3x.png
155,Marc Guéhi,England,CB,21,78,86,2021 ~ 2026,Crystal Palace,1760,https://cdn.sofifa.net/players/241/159/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
156,Orkun Kökçü,Turkey,CAM,21,81,86,2017 ~ 2025,Feyenoord,2152,https://cdn.sofifa.net/players/243/245/23_180.png, https://cdn.sofifa.net/flags/tr@3x.png
157,Gabriel Teodoro Martinelli Silva,Brazil,LM,21,82,88,2019 ~ 2027,Arsenal,2008,https://cdn.sofifa.net/players/251/566/23_180.png, https://cdn.sofifa.net/flags/br@3x.png
158,Pedro González López,Spain,CM,19,85,92,2020 ~ 2026,FC Barcelona,2119,https://cdn.sofifa.net/players/251/854/23_180.png, https://cdn.sofifa.net/flags/es@3x.png
159,Alan Velasco,Argentina,CAM,19,75,84,2022 ~ 2025,Dallas,1954,https://cdn.sofifa.net/players/252/238/23_180.png, https://cdn.sofifa.net/flags/ar@3x.png
160,Levi Colwill,England,CB,19,71,84,30-Jun-23,Brighton & Hove Albion,1712,https://cdn.sofifa.net/players/262/859/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
161,Fabio Chiarodia,Italy,CB,17,61,83,2021 ~ 2024,Werder Bremen,1487,https://cdn.sofifa.net/players/264/763/23_180.png, https://cdn.sofifa.net/flags/it@3x.png
162,Jakub Kiwior,Poland,CDM,22,72,81,2023 ~ 2028,Arsenal,1696,https://cdn.sofifa.net/players/265/693/23_180.png, https://cdn.sofifa.net/flags/pl@3x.png
163,Samuel Iling-Junior,England,LW,18,69,85,2022 ~ 2025,Juventus,1697,https://cdn.sofifa.net/players/272/379/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
164,N'Golo Kanté,France,CM,31,88,88,2016 ~ 2023,Chelsea,2141,https://cdn.sofifa.net/players/215/914/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
165,Benjamin Pavard,France,RB,26,82,84,2019 ~ 2024,FC Bayern München,2085,https://cdn.sofifa.net/players/226/851/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
166,Alexander Isak,Sweden,ST,22,81,85,2022 ~ 2028,Newcastle United,1970,https://cdn.sofifa.net/players/233/731/23_180.png, https://cdn.sofifa.net/flags/se@3x.png
167,Diogo Meireles Costa,Portugal,GK,22,82,87,2016 ~ 2026,Porto,1243,https://cdn.sofifa.net/players/234/577/23_180.png, https://cdn.sofifa.net/flags/pt@3x.png
168,Achraf Hakimi,Morocco,RWB,23,84,87,2021 ~ 2026,Paris Saint Germain,2229,https://cdn.sofifa.net/players/235/212/23_180.png, https://cdn.sofifa.net/flags/ma@3x.png
169,Moise Kean,Italy,LW,22,78,86,30-Jun-23,Juventus,1900,https://cdn.sofifa.net/players/236/610/23_180.png, https://cdn.sofifa.net/flags/it@3x.png
170,Boubacar Kamara,France,CM,22,80,86,2022 ~ 2027,Aston Villa,1973,https://cdn.sofifa.net/players/236/987/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
171,Phil Foden,England,RW,22,84,90,2016 ~ 2027,Manchester City,2084,https://cdn.sofifa.net/players/237/692/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
172,Kevin Danso,Austria,CB,23,78,84,2021 ~ 2026,Lens,1731,https://cdn.sofifa.net/players/237/985/23_180.png, https://cdn.sofifa.net/flags/at@3x.png
173,Mohamed Simakan,France,RB,22,79,86,2021 ~ 2027,RB Leipzig,1846,https://cdn.sofifa.net/players/243/854/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
174,Samuel Chukwueze,Nigeria,RW,23,79,85,2018 ~ 2024,Villarreal,1898,https://cdn.sofifa.net/players/246/172/23_180.png, https://cdn.sofifa.net/flags/ng@3x.png
175,Dávid Hancko,Slovakia,LB,24,80,84,2022 ~ 2026,Feyenoord,2082,https://cdn.sofifa.net/players/247/103/23_180.png, https://cdn.sofifa.net/flags/sk@3x.png
176,Nicolò Rovella,Italy,CDM,20,77,86,30-Jun-23,Monza,2086,https://cdn.sofifa.net/players/255/001/23_180.png, https://cdn.sofifa.net/flags/it@3x.png
177,Vítor Machado Ferreira,Portugal,CM,22,80,86,2022 ~ 2027,Paris Saint Germain,2061,https://cdn.sofifa.net/players/255/253/23_180.png, https://cdn.sofifa.net/flags/pt@3x.png
178,Giorgi Mamardashvili,Georgia,GK,21,79,85,2022 ~ 2027,Valencia,1095,https://cdn.sofifa.net/players/262/621/23_180.png, https://cdn.sofifa.net/flags/ge@3x.png
179,Pablo Torre Carral,Spain,LM,19,69,86,2022 ~ 2026,FC Barcelona,1777,https://cdn.sofifa.net/players/267/976/23_180.png, https://cdn.sofifa.net/flags/es@3x.png
180,Raheem Sterling,England,ST,27,85,85,2022 ~ 2027,Chelsea,2084,https://cdn.sofifa.net/players/202/652/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
181,Lucas Hernández,France,LB,26,84,85,2019 ~ 2024,FC Bayern München,2005,https://cdn.sofifa.net/players/220/814/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
182,Henry Martín,Mexico,ST,29,79,79,Free,Mexico,1955,https://cdn.sofifa.net/players/224/151/23_180.png, https://cdn.sofifa.net/flags/mx@3x.png
183,Marcus Thuram,France,ST,24,80,84,2019 ~ 2023,Borussia Mönchengladbach,1997,https://cdn.sofifa.net/players/228/093/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
184,Trent Alexander-Arnold,England,RB,23,85,88,2015 ~ 2025,Liverpool,2221,https://cdn.sofifa.net/players/231/281/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
185,Ousmane Dembélé,France,LW,25,84,87,2017 ~ 2024,FC Barcelona,2011,https://cdn.sofifa.net/players/231/443/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
186,Florentino Morris Luís,Portugal,CM,22,79,85,2017 ~ 2027,Benfica,1822,https://cdn.sofifa.net/players/234/569/23_180.png, https://cdn.sofifa.net/flags/pt@3x.png
187,Lisandro Martínez,Argentina,CB,24,83,88,2022 ~ 2027,Manchester United,2173,https://cdn.sofifa.net/players/239/301/23_180.png, https://cdn.sofifa.net/flags/ar@3x.png
188,Nico Schlotterbeck,Germany,CB,22,82,87,2022 ~ 2027,Borussia Dortmund,1991,https://cdn.sofifa.net/players/247/819/23_180.png, https://cdn.sofifa.net/flags/de@3x.png
189,Ian Maatsen,Netherlands,LWB,20,74,85,30-Jun-23,Burnley,1942,https://cdn.sofifa.net/players/248/465/23_180.png, https://cdn.sofifa.net/flags/nl@3x.png
190,Charles De Ketelaere,Belgium,ST,21,77,86,2022 ~ 2027,Milan,2054,https://cdn.sofifa.net/players/251/470/23_180.png, https://cdn.sofifa.net/flags/be@3x.png
191,Nicholas Williams Arthuer,Spain,LM,19,78,86,2020 ~ 2024,Athletic Club,1920,https://cdn.sofifa.net/players/256/516/23_180.png, https://cdn.sofifa.net/flags/es@3x.png
192,Luka Sučić,Croatia,CM,19,74,85,2019 ~ 2025,Salzburg,1933,https://cdn.sofifa.net/players/258/775/23_180.png, https://cdn.sofifa.net/flags/hr@3x.png
193,Dane Scarlett,England,ST,18,63,78,30-Jun-23,Portsmouth,1588,https://cdn.sofifa.net/players/261/025/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
194,Romelu Lukaku,Belgium,ST,29,84,84,30-Jun-23,Inter,2022,https://cdn.sofifa.net/players/192/505/23_180.png, https://cdn.sofifa.net/flags/be@3x.png
195,Antoine Griezmann,France,LM,31,86,86,2022 ~ 2026,Atlético Madrid,2295,https://cdn.sofifa.net/players/194/765/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
196,Leandro Trossard,Belgium,ST,27,80,80,2023 ~ 2027,Arsenal,1977,https://cdn.sofifa.net/players/207/421/23_180.png, https://cdn.sofifa.net/flags/be@3x.png
197,Walace Souza Silva,Brazil,CM,27,76,77,2019 ~ 2026,Udinese,1945,https://cdn.sofifa.net/players/222/844/23_180.png, https://cdn.sofifa.net/flags/br@3x.png
198,Vedat Muriqi,Kosovo,ST,28,78,78,2022 ~ 2027,Mallorca,1764,https://cdn.sofifa.net/players/223/710/23_180.png, https://cdn.sofifa.net/flags/xk@3x.png
199,Aaron Wan-Bissaka,England,RB,24,79,82,2019 ~ 2024,Manchester United,1911,https://cdn.sofifa.net/players/229/880/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
200,Cristian Romero,Argentina,CB,24,83,88,2022 ~ 2027,Tottenham Hotspur,1884,https://cdn.sofifa.net/players/232/488/23_180.png, https://cdn.sofifa.net/flags/ar@3x.png
201,Robin Le Normand,France,CB,25,82,87,2016 ~ 2026,Real Sociedad,1662,https://cdn.sofifa.net/players/233/486/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
202,Federico Chiesa,Italy,RW,24,84,87,2022 ~ 2025,Juventus,2078,https://cdn.sofifa.net/players/235/805/23_180.png, https://cdn.sofifa.net/flags/it@3x.png
203,Alessandro Bastoni,Italy,CB,23,84,89,2017 ~ 2024,Inter,1909,https://cdn.sofifa.net/players/237/383/23_180.png, https://cdn.sofifa.net/flags/it@3x.png
204,Tyrell Malacia,Netherlands,LB,22,79,83,2022 ~ 2026,Manchester United,2021,https://cdn.sofifa.net/players/238/041/23_180.png, https://cdn.sofifa.net/flags/nl@3x.png
205,Rúben Santos Gato Alves Dias,Portugal,CB,25,88,91,2020 ~ 2027,Manchester City,1888,https://cdn.sofifa.net/players/239/818/23_180.png, https://cdn.sofifa.net/flags/pt@3x.png
206,Éder Gabriel Militão,Brazil,CB,24,85,89,2019 ~ 2025,Real Madrid,2051,https://cdn.sofifa.net/players/240/130/23_180.png, https://cdn.sofifa.net/flags/br@3x.png
207,Ricard Puig Martí,Spain,CAM,22,75,83,2022 ~ 2025,LA Galaxy,1878,https://cdn.sofifa.net/players/242/816/23_180.png, https://cdn.sofifa.net/flags/es@3x.png
208,Jean-Clair Todibo,France,CB,22,79,84,2021 ~ 2027,Nice,1852,https://cdn.sofifa.net/players/245/388/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
209,Bryan Gil Salvatierra,Spain,CAM,21,77,83,30-Jun-23,Sevilla,1757,https://cdn.sofifa.net/players/246/785/23_180.png, https://cdn.sofifa.net/flags/es@3x.png
210,Ali Al Musrati,Libya,CM,26,81,84,2020 ~ 2026,Sporting Braga,1953,https://cdn.sofifa.net/players/252/308/23_180.png, https://cdn.sofifa.net/flags/ly@3x.png
211,Ronald Araujo,Uruguay,RB,23,83,89,2018 ~ 2026,FC Barcelona,1910,https://cdn.sofifa.net/players/253/163/23_180.png, https://cdn.sofifa.net/flags/uy@3x.png
212,Facundo Pellistri,Uruguay,RM,20,71,82,2020 ~ 2025,Manchester United,1762,https://cdn.sofifa.net/players/253/283/23_180.png, https://cdn.sofifa.net/flags/uy@3x.png
213,Fábio Leandro Carvalho,Portugal,LM,19,74,86,2022 ~ 2028,Liverpool,1802,https://cdn.sofifa.net/players/256/725/23_180.png, https://cdn.sofifa.net/flags/pt@3x.png
214,Amadou Onana,Belgium,CM,20,75,85,2022 ~ 2027,Everton,1904,https://cdn.sofifa.net/players/257/057/23_180.png, https://cdn.sofifa.net/flags/be@3x.png
215,Malo Gusto,France,RB,19,76,85,30-Jun-23,Olympique Lyonnais,1923,https://cdn.sofifa.net/players/259/307/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
216,Antonio Nusa,Norway,LM,17,66,86,2021 ~ 2027,Club Brugge,1680,https://cdn.sofifa.net/players/262/863/23_180.png, https://cdn.sofifa.net/flags/no@3x.png
217,Johan Bakayoko,Belgium,RW,19,70,86,2019 ~ 2026,PSV,1689,https://cdn.sofifa.net/players/265/450/23_180.png, https://cdn.sofifa.net/flags/be@3x.png
218,Facundo Buonanotte,Argentina,CM,17,68,83,2023 ~ 2026,Brighton & Hove Albion,1603,https://cdn.sofifa.net/players/269/495/23_180.png, https://cdn.sofifa.net/flags/ar@3x.png
219,Robert Lewandowski,Poland,ST,33,91,91,2022 ~ 2025,FC Barcelona,2205,https://cdn.sofifa.net/players/188/545/23_180.png, https://cdn.sofifa.net/flags/pl@3x.png
220,Christian Eriksen,Denmark,CDM,30,83,83,2022 ~ 2025,Manchester United,2024,https://cdn.sofifa.net/players/190/460/23_180.png, https://cdn.sofifa.net/flags/dk@3x.png
221,Harry Maguire,England,CB,29,80,80,2019 ~ 2024,Manchester United,1900,https://cdn.sofifa.net/players/203/263/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
222,Alejandro Grimaldo García,Spain,LB,26,83,84,2016 ~ 2023,Benfica,2213,https://cdn.sofifa.net/players/210/035/23_180.png, https://cdn.sofifa.net/flags/es@3x.png
223,Marco Asensio Willemsen,Spain,RW,26,83,83,2015 ~ 2023,Real Madrid,2040,https://cdn.sofifa.net/players/220/834/23_180.png, https://cdn.sofifa.net/flags/es@3x.png
224,Victor Lindelöf,Sweden,CB,27,79,80,2017 ~ 2024,Manchester United,1938,https://cdn.sofifa.net/players/221/660/23_180.png, https://cdn.sofifa.net/flags/se@3x.png
225,Frenkie de Jong,Netherlands,CM,25,87,90,2019 ~ 2026,FC Barcelona,2238,https://cdn.sofifa.net/players/228/702/23_180.png, https://cdn.sofifa.net/flags/nl@3x.png
226,Tammy Abraham,England,ST,24,81,85,2021 ~ 2026,Roma,1920,https://cdn.sofifa.net/players/231/352/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
227,Eberechi Eze,England,LM,24,77,82,2020 ~ 2025,Crystal Palace,1952,https://cdn.sofifa.net/players/235/794/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
228,Emile Smith Rowe,England,CAM,21,79,86,2017 ~ 2026,Arsenal,1837,https://cdn.sofifa.net/players/240/273/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
229,Moussa Diaby,France,CF,22,84,88,2019 ~ 2025,Bayer 04 Leverkusen,1959,https://cdn.sofifa.net/players/241/852/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
230,Tariq Lamptey,Ghana,RWB,21,75,82,2020 ~ 2025,Brighton & Hove Albion,1829,https://cdn.sofifa.net/players/242/418/23_180.png, https://cdn.sofifa.net/flags/gh@3x.png
231,Cody Gakpo,Netherlands,LW,23,83,88,2023 ~ 2028,Liverpool,2065,https://cdn.sofifa.net/players/242/516/23_180.png, https://cdn.sofifa.net/flags/nl@3x.png
232,Rodrygo Silva de Goes,Brazil,ST,21,83,89,2019 ~ 2028,Real Madrid,2003,https://cdn.sofifa.net/players/243/812/23_180.png, https://cdn.sofifa.net/flags/br@3x.png
233,Eric García Martret,Spain,CB,21,76,83,2021 ~ 2026,FC Barcelona,1814,https://cdn.sofifa.net/players/245/037/23_180.png, https://cdn.sofifa.net/flags/es@3x.png
234,Michael Olise,France,RM,20,78,84,2021 ~ 2026,Crystal Palace,1958,https://cdn.sofifa.net/players/247/827/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
235,Brian Brobbey,Netherlands,ST,20,76,83,2022 ~ 2027,Ajax,1800,https://cdn.sofifa.net/players/251/810/23_180.png, https://cdn.sofifa.net/flags/nl@3x.png
236,Alan Soñora,United States,CDM,23,73,78,Free,United States,2003,https://cdn.sofifa.net/players/252/240/23_180.png, https://cdn.sofifa.net/flags/us@3x.png
237,Jan Paul van Hecke,Netherlands,CB,22,71,78,2020 ~ 2023,Brighton & Hove Albion,1705,https://cdn.sofifa.net/players/258/908/23_180.png, https://cdn.sofifa.net/flags/nl@3x.png
238,Björn Meijer,Netherlands,LWB,19,72,86,2022 ~ 2026,Club Brugge,1921,https://cdn.sofifa.net/players/262/219/23_180.png, https://cdn.sofifa.net/flags/nl@3x.png
239,Tom Bischof,Germany,CAM,17,65,86,2021 ~ 2025,TSG Hoffenheim,1651,https://cdn.sofifa.net/players/263/765/23_180.png, https://cdn.sofifa.net/flags/de@3x.png
240,Eden Hazard,Belgium,LW,31,82,82,2019 ~ 2024,Real Madrid,2022,https://cdn.sofifa.net/players/183/277/23_180.png, https://cdn.sofifa.net/flags/be@3x.png
241,Ángel Di María,Argentina,RM,34,84,84,2022 ~ 2023,Juventus,2160,https://cdn.sofifa.net/players/183/898/23_180.png, https://cdn.sofifa.net/flags/ar@3x.png
242,Luke Shaw,England,CB,26,82,83,2014 ~ 2027,Manchester United,2158,https://cdn.sofifa.net/players/205/988/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
243,Ismaël Bennacer,Algeria,CM,24,83,87,2019 ~ 2027,Milan,2231,https://cdn.sofifa.net/players/226/754/23_180.png, https://cdn.sofifa.net/flags/dz@3x.png
244,João Maria Palhinha Gonçalves,Portugal,CM,26,82,84,2022 ~ 2027,Fulham,2058,https://cdn.sofifa.net/players/229/391/23_180.png, https://cdn.sofifa.net/flags/pt@3x.png
245,Noussair Mazraoui,Morocco,LB,24,82,85,2022 ~ 2026,FC Bayern München,2093,https://cdn.sofifa.net/players/236/401/23_180.png, https://cdn.sofifa.net/flags/ma@3x.png
246,Pervis Estupiñán,Ecuador,LB,24,79,83,2022 ~ 2027,Brighton & Hove Albion,1912,https://cdn.sofifa.net/players/237/942/23_180.png, https://cdn.sofifa.net/flags/ec@3x.png
247,Noa Lang,Netherlands,ST,23,78,85,2021 ~ 2025,Club Brugge,2029,https://cdn.sofifa.net/players/239/380/23_180.png, https://cdn.sofifa.net/flags/nl@3x.png
248,Oliver Skipp,England,CM,21,77,83,2018 ~ 2024,Tottenham Hotspur,1845,https://cdn.sofifa.net/players/241/042/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
249,Dominik Livaković,Croatia,GK,27,81,84,2015 ~ 2024,Dinamo Zagreb,1334,https://cdn.sofifa.net/players/241/671/23_180.png, https://cdn.sofifa.net/flags/hr@3x.png
250,William Saliba,France,CB,21,83,89,2019 ~ 2024,Arsenal,1888,https://cdn.sofifa.net/players/243/715/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
251,Oihan Sancet Tirapu,Spain,ST,22,80,86,2017 ~ 2032,Athletic Club,2065,https://cdn.sofifa.net/players/244/675/23_180.png, https://cdn.sofifa.net/flags/es@3x.png
252,Jurriën Timber,Netherlands,RB,21,79,87,2019 ~ 2025,Ajax,1943,https://cdn.sofifa.net/players/251/805/23_180.png, https://cdn.sofifa.net/flags/nl@3x.png
253,Sven Botman,Netherlands,CB,22,83,88,2022 ~ 2027,Newcastle United,1795,https://cdn.sofifa.net/players/251/809/23_180.png, https://cdn.sofifa.net/flags/nl@3x.png
254,Matías Arezo,Uruguay,ST,19,72,82,2023 ~ 2026,Peñarol,1834,https://cdn.sofifa.net/players/254/653/23_180.png, https://cdn.sofifa.net/flags/uy@3x.png
255,Willian Pacho,Ecuador,CB,20,74,84,2022 ~ 2026,Antwerp,1695,https://cdn.sofifa.net/players/256/196/23_180.png, https://cdn.sofifa.net/flags/ec@3x.png
256,Gabriel Veron Fonseca de Souza,Brazil,LM,19,75,86,2022 ~ 2027,Porto,1727,https://cdn.sofifa.net/players/259/849/23_180.png, https://cdn.sofifa.net/flags/br@3x.png
257,Charlie Patino,England,CDM,18,67,85,30-Jun-23,Blackpool,1748,https://cdn.sofifa.net/players/260/144/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
258,Exequiel Zeballos,Argentina,LW,20,72,84,2020 ~ 2026,Boca Juniors,1727,https://cdn.sofifa.net/players/260/601/23_180.png, https://cdn.sofifa.net/flags/ar@3x.png
259,Mateo Joseph,England,ST,18,62,82,2022 ~ 2025,Leeds United,1498,https://cdn.sofifa.net/players/270/206/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
260,Eliesse Ben Seghir,France,ST,17,71,86,2022 ~ 2025,Monaco,1745,https://cdn.sofifa.net/players/272/781/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
261,İlkay Gündoğan,Germany,CDM,31,85,85,2016 ~ 2023,Manchester City,2191,https://cdn.sofifa.net/players/186/942/23_180.png, https://cdn.sofifa.net/flags/de@3x.png
262,Emre Can,Germany,CB,28,83,83,2020 ~ 2024,Borussia Dortmund,2253,https://cdn.sofifa.net/players/208/333/23_180.png, https://cdn.sofifa.net/flags/de@3x.png
263,Hakim Ziyech,Morocco,CAM,29,82,82,2020 ~ 2025,Chelsea,2064,https://cdn.sofifa.net/players/208/670/23_180.png, https://cdn.sofifa.net/flags/ma@3x.png
264,João Pedro Cavaco Cancelo,Portugal,RM,28,87,87,30-Jun-23,FC Bayern München,2252,https://cdn.sofifa.net/players/210/514/23_180.png, https://cdn.sofifa.net/flags/pt@3x.png
265,Bernardo Mota Carvalho e Silva,Portugal,CM,27,88,88,2017 ~ 2025,Manchester City,2210,https://cdn.sofifa.net/players/218/667/23_180.png, https://cdn.sofifa.net/flags/pt@3x.png
266,Manuel Locatelli,Italy,CM,24,82,86,30-Jun-23,Juventus,2132,https://cdn.sofifa.net/players/222/077/23_180.png, https://cdn.sofifa.net/flags/it@3x.png
267,Reiss Nelson,England,LW,22,73,80,2016 ~ 2023,Arsenal,1781,https://cdn.sofifa.net/players/231/448/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
268,Gabriel dos S. Magalhães,Brazil,CB,24,82,86,2020 ~ 2027,Arsenal,1744,https://cdn.sofifa.net/players/232/580/23_180.png, https://cdn.sofifa.net/flags/br@3x.png
269,João Pedro Neves Filipe,Portugal,RW,23,77,83,2021 ~ 2027,Celtic,1914,https://cdn.sofifa.net/players/234/570/23_180.png, https://cdn.sofifa.net/flags/pt@3x.png
270,Jérémy Doku,Belgium,RW,20,75,85,2020 ~ 2025,Rennes,1779,https://cdn.sofifa.net/players/246/420/23_180.png, https://cdn.sofifa.net/flags/be@3x.png
271,Brenden Aaronson,United States,CM,21,75,83,2022 ~ 2027,Leeds United,1939,https://cdn.sofifa.net/players/247/361/23_180.png, https://cdn.sofifa.net/flags/us@3x.png
272,Gustav Isaksen,Denmark,LW,21,73,82,2019 ~ 2025,Midtjylland,1766,https://cdn.sofifa.net/players/248/729/23_180.png, https://cdn.sofifa.net/flags/dk@3x.png
273,Sergiño Dest,United States,LB,21,76,83,30-Jun-23,Milan,1981,https://cdn.sofifa.net/players/251/804/23_180.png, https://cdn.sofifa.net/flags/us@3x.png
274,Nuno Alexandre Tavares Mendes,Portugal,LWB,20,81,89,2021 ~ 2026,Paris Saint Germain,2088,https://cdn.sofifa.net/players/252/145/23_180.png, https://cdn.sofifa.net/flags/pt@3x.png
275,Mike Trésor,Belgium,CAM,23,77,83,2021 ~ 2025,Genk,1854,https://cdn.sofifa.net/players/253/150/23_180.png, https://cdn.sofifa.net/flags/be@3x.png
276,Amad Diallo,Côte d'Ivoire,CAM,19,73,85,30-Jun-23,Sunderland,1741,https://cdn.sofifa.net/players/254/088/23_180.png, https://cdn.sofifa.net/flags/ci@3x.png
277,Kenneth Taylor,Netherlands,CDM,20,75,84,2018 ~ 2027,Ajax,1994,https://cdn.sofifa.net/players/255/009/23_180.png, https://cdn.sofifa.net/flags/nl@3x.png
278,Luca Netz,Germany,LM,19,73,83,2021 ~ 2026,Borussia Mönchengladbach,1800,https://cdn.sofifa.net/players/256/781/23_180.png, https://cdn.sofifa.net/flags/de@3x.png
279,Osman Bukari,Ghana,ST,23,72,74,Free,Ghana,1809,https://cdn.sofifa.net/players/258/608/23_180.png, https://cdn.sofifa.net/flags/gh@3x.png
280,Tino Livramento,England,RB,19,74,84,2021 ~ 2026,Southampton,1841,https://cdn.sofifa.net/players/262/118/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
281,Matteo Cancellieri,Italy,CF,19,73,86,30-Jun-23,Lazio,1874,https://cdn.sofifa.net/players/263/929/23_180.png, https://cdn.sofifa.net/flags/it@3x.png
282,Micky van de Ven,Netherlands,LB,21,77,85,2021 ~ 2027,VfL Wolfsburg,1808,https://cdn.sofifa.net/players/264/453/23_180.png, https://cdn.sofifa.net/flags/nl@3x.png
283,L. Henrique Rosa da Silva,Brazil,LM,21,75,85,2022 ~ 2028,Real Betis,1882,https://cdn.sofifa.net/players/264/698/23_180.png, https://cdn.sofifa.net/flags/br@3x.png
284,Marko Lazetić,Serbia,LM,18,65,84,30-Jun-23,Rheindorf Altach,1659,https://cdn.sofifa.net/players/266/891/23_180.png, https://cdn.sofifa.net/flags/rs@3x.png
285,Mathys Tel,France,RM,17,67,86,2022 ~ 2027,FC Bayern München,1679,https://cdn.sofifa.net/players/268/421/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
286,André Nogueira Gomes,Portugal,GK,17,63,86,2022 ~ 2028,Benfica,1080,https://cdn.sofifa.net/players/273/998/23_180.png, https://cdn.sofifa.net/flags/pt@3x.png
287,Calvin Bassey,Nigeria,LB,22,74,82,2022 ~ 2027,Ajax,1874,https://cdn.sofifa.net/players/241/436/23_180.png, https://cdn.sofifa.net/flags/ng@3x.png
288,Maarten Vandevoordt,Belgium,GK,20,74,84,2018 ~ 2023,Genk,1130,https://cdn.sofifa.net/players/242/879/23_180.png, https://cdn.sofifa.net/flags/be@3x.png
289,Borna Sosa,Croatia,LWB,24,79,83,2018 ~ 2025,VfB Stuttgart,2000,https://cdn.sofifa.net/players/243/388/23_180.png, https://cdn.sofifa.net/flags/hr@3x.png
290,Armand Laurienté,France,ST,23,77,82,2022 ~ 2027,Sassuolo,1899,https://cdn.sofifa.net/players/243/593/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
291,Maxence Lacroix,France,CB,22,76,84,2020 ~ 2025,VfL Wolfsburg,1719,https://cdn.sofifa.net/players/244/067/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
292,Jacob Ramsey,England,LM,21,75,83,2017 ~ 2027,Aston Villa,2079,https://cdn.sofifa.net/players/246/923/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
293,Mateus Tetê,Brazil,RW,22,77,86,30-Jun-23,Leicester City,1869,https://cdn.sofifa.net/players/247/641/23_180.png, https://cdn.sofifa.net/flags/br@3x.png
294,Giacomo Raspadori,Italy,ST,22,79,86,30-Jun-23,Napoli,1869,https://cdn.sofifa.net/players/253/002/23_180.png, https://cdn.sofifa.net/flags/it@3x.png
295,Fábio Daniel Ferreira Vieira,Portugal,RW,22,77,86,2022 ~ 2027,Arsenal,1852,https://cdn.sofifa.net/players/256/958/23_180.png, https://cdn.sofifa.net/flags/pt@3x.png
